Window 79 17

Player PlayerIdle 1 7

Tile LandTop 0 4
Tile LandTop 1 4
Tile LandTop 2 4
Tile LandTop 3 4
Tile LandTop 4 4
Tile LandTop 5 4
Tile LandTop 6 4
Tile LandTop 7 4
Tile LandTop 8 4
Tile LandTopRight 9 4

Tile LandCentre 0 0
Tile LandCentre 1 0
Tile LandCentre 2 0
Tile LandCentre 3 0
Tile LandCentre 4 0
Tile LandCentre 5 0
Tile LandCentre 6 0
Tile LandCentre 7 0
Tile LandCentre 8 0
Tile LandRight 9 0
Tile LandCentre 0 1
Tile LandCentre 1 1
Tile LandCentre 2 1
Tile LandCentre 3 1
Tile LandCentre 4 1
Tile LandCentre 5 1
Tile LandCentre 6 1
Tile LandCentre 7 1
Tile LandCentre 8 1
Tile LandRight 9 1
Tile LandCentre 0 2
Tile LandCentre 1 2
Tile LandCentre 2 2
Tile LandCentre 3 2
Tile LandCentre 4 2
Tile LandCentre 5 2
Tile LandCentre 6 2
Tile LandCentre 7 2
Tile LandCentre 8 2
Tile LandRight 9 2
Tile LandCentre 0 3
Tile LandCentre 1 3
Tile LandCentre 2 3
Tile LandCentre 3 3
Tile LandCentre 4 3
Tile LandCentre 5 3
Tile LandCentre 6 3
Tile LandCentre 7 3
Tile LandCentre 8 3
Tile LandRight 9 3

Tile LandTopLeft 12 6
Tile LandTopRight 13 6
Tile LandLeft 12 0
Tile LandLeft 12 1
Tile LandLeft 12 2
Tile LandLeft 12 3
Tile LandLeft 12 4
Tile LandLeft 12 5
Tile LandRight 13 0
Tile LandRight 13 1
Tile LandRight 13 2
Tile LandRight 13 3
Tile LandRight 13 4
Tile LandRight 13 5

Tile LandTopLeft 16 1
Tile LandTopRight 17 1
Tile LandLeft 16 0
Tile LandRight 17 0
Tile LandTopLeft 22 5
Tile LandTop 23 5
Tile LandTop 24 5
Tile LandTop 25 5
Tile LandTop 26 5
Tile LandTop 27 5
Tile LandTop 28 5
Tile LandTopRight 29 5
Tile LandTop 30 4
Tile LandTop 31 4
Tile LandTop 32 4
Tile LandTopRight 33 4
Tile LandTopRight 34 3
Tile LandLeft 22 0
Tile LandLeft 22 1
Tile LandLeft 22 2
Tile LandLeft 22 3
Tile LandLeft 22 4
Tile LandCentre 23 0
Tile LandCentre 23 1
Tile LandCentre 23 2
Tile LandCentre 23 3
Tile LandCentre 23 4
Tile LandCentre 24 0
Tile LandCentre 24 1
Tile LandCentre 24 2
Tile LandCentre 24 3
Tile LandCentre 24 4
Tile LandCentre 25 0
Tile LandCentre 25 1
Tile LandCentre 25 2
Tile LandCentre 25 3
Tile LandCentre 25 4
Enemy BarnAcleIdle1 25 6 0.0 BarnAcleAttack 1
Enemy BarnAcleIdle1 50 7 0.0 BarnAcleAttack 1
Tile LandCentre 26 0
Tile LandCentre 26 1
Tile LandCentre 26 2
Tile LandCentre 26 3
Tile LandCentre 26 4
Tile LandCentre 27 0
Tile LandCentre 27 1
Tile LandCentre 27 2
Tile LandCentre 27 3
Tile LandCentre 27 4
Tile LandCentre 28 0
Tile LandCentre 28 1
Tile LandCentre 28 2
Tile LandCentre 28 3
Tile LandCentre 28 4
Tile LandCentre 29 0
Tile LandCentre 29 1
Tile LandCentre 29 2
Tile LandCentre 29 3
Tile LandCentre 29 4
Tile LandCentre 30 0
Tile LandCentre 30 1
Tile LandCentre 30 2
Tile LandCentre 30 3
Tile LandCentre 31 0
Tile LandCentre 31 1
Tile LandCentre 31 2
Tile LandCentre 31 3
Tile LandCentre 32 0
Tile LandCentre 32 1
Tile LandCentre 32 2
Tile LandCentre 32 3
Tile LandCentre 33 0
Tile LandCentre 33 1
Tile LandCentre 33 2
Tile LandCentre 33 3
Tile LandRight 34 0
Tile LandRight 34 1
Tile LandRight 34 2


Tile GrassCloud 37 3
Tile GrassCloud 41 3
Tile GrassCloud 45 3

Tile LandTopLeft 47 6
Tile LandTop 48 6
Tile LandTop 49 6
Tile LandTop 50 6
Tile LandTop 51 6
Tile LandTop 52 6
Tile LandTop 53 6
Tile LandTopRight 54 6

Tile GrassCloud 56 6
Tile GrassCloud 60 2
Tile GrassCloud 60 8
Tile GrassCloud 63 9
Tile GrassCloud 64 2

Tile LandTopLeft 65 11
Tile LandTop 66 11
Tile LandTop 67 11
Tile LandTop 68 11
Tile LandTopRight 69 11

Tile LandTopLeft 72 11
Tile LandTop 73 11
Tile LandTop 74 11
Tile LandTop 75 11
Tile LandTop 76 11
Tile LandTopRight 77 11
